DATE_TIME,LONGITUDE,LATITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,location,new_column,Norm_MinSpeed,Norm_MaxSpeed,Norm_NumVehicles,TrafficScore,TrafficCondition
03/04/2020,29.0423583984375,41.1135864257812,sxk9uu,6,75,44,62,BALCONES RECYCLING,,0.021739130434782608,0.125,0.06882591093117409,0.37445212110543924,Low
03/05/2020,28.6907958984375,41.0586547851562,sxk3sf,6,114,47,301,TDS LANDFILL,,0.021739130434782608,0.35714285714285715,0.3913630229419703,0.40157039756582086,Medium
03/07/2020,28.4600830078125,41.1630249023438,sxk4pt,33,132,57,37,BURGER CENTER,,0.31521739130434784,0.4642857142857143,0.03508771929824561,0.1451536449820202,Low
03/03/2020,28.4600830078125,41.1630249023438,sxk4pt,15,107,44,34,BURGER CENTER,,0.11956521739130435,0.31547619047619047,0.0310391363022942,0.2668427967913094,Low
03/19/2020,29.2071533203125,41.0421752929688,sxkc2x,80,109,96,12,HORNSBY BEND,,0.8260869565217391,0.3273809523809524,0.001349527665317139,-0.028244210023386215,Low
03/24/2020,29.0423583984375,41.1135864257812,sxk9uu,6,76,42,14,BALCONES RECYCLING,,0.021739130434782608,0.13095238095238096,0.004048582995951417,0.35323320843915806,Low
03/16/2020,28.4600830078125,41.1630249023438,sxk4pt,32,110,60,19,BURGER CENTER,,0.30434782608695654,0.3333333333333333,0.010796221322537112,0.18149973596197855,Low
03/22/2020,28.4600830078125,41.1630249023438,sxk4pt,25,143,68,39,BURGER CENTER,,0.22826086956521738,0.5297619047619048,0.037786774628879895,0.1611031131340056,Low
03/11/2020,29.0423583984375,41.1135864257812,sxk9uu,14,89,54,14,BALCONES RECYCLING,,0.10869565217391304,0.20833333333333334,0.004048582995951417,0.2952363140292202,Low
03/09/2020,29.2071533203125,41.0421752929688,sxkc2x,67,160,110,66,HORNSBY BEND,,0.6847826086956522,0.6309523809523809,0.07422402159244265,-0.040931551286242374,Low
03/24/2020,28.6907958984375,41.0586547851562,sxk3sf,12,131,77,561,TDS LANDFILL,,0.08695652173913043,0.4583333333333333,0.7422402159244265,0.4503894560816759,Medium
03/03/2020,28.6907958984375,41.0586547851562,sxk3sf,6,124,37,700,TDS LANDFILL,,0.021739130434782608,0.4166666666666667,0.9298245614035088,0.5452517162471395,Medium
03/12/2020,28.6907958984375,41.0586547851562,sxk3sf,6,142,68,556,TDS LANDFILL,,0.021739130434782608,0.5238095238095238,0.7354925775978407,0.45480926396258203,Medium
03/18/2020,29.0423583984375,41.1135864257812,sxk9uu,6,82,42,78,BALCONES RECYCLING,,0.021739130434782608,0.16666666666666666,0.09041835357624832,0.3684298538989615,Low
03/27/2020,28.4600830078125,41.1630249023438,sxk4pt,26,115,62,19,BURGER CENTER,,0.2391304347826087,0.3630952380952381,0.010796221322537112,0.19865812105514624,Low
03/25/2020,27.9766845703125,40.9872436523438,sx7cht,6,72,43,17,ELMONT,,0.021739130434782608,0.10714285714285714,0.008097165991902834,0.3615906404808007,Low
03/30/2020,28.6907958984375,41.0586547851562,sxk3sf,14,152,84,471,TDS LANDFILL,,0.10869565217391304,0.5833333333333334,0.6207827260458839,0.36775655694419984,Low
03/23/2020,29.0423583984375,41.1135864257812,sxk9uu,8,82,40,52,BALCONES RECYCLING,,0.043478260869565216,0.16666666666666666,0.0553306342780027,0.3492078859355747,Low
03/18/2020,28.6907958984375,41.0586547851562,sxk3sf,9,159,71,93,TDS LANDFILL,,0.05434782608695652,0.625,0.1106612685560054,0.22395925013201906,Low
03/10/2020,28.6907958984375,41.0586547851562,sxk3sf,9,118,66,241,TDS LANDFILL,,0.05434782608695652,0.38095238095238093,0.31039136302294196,0.35709256418638574,Low
03/22/2020,29.0423583984375,41.1135864257812,sxk9uu,7,80,39,36,BALCONES RECYCLING,,0.03260869565217391,0.15476190476190477,0.033738191632928474,0.3506494078004375,Low
03/01/2020,28.4600830078125,41.1630249023438,sxk4pt,34,101,59,20,BURGER CENTER,,0.32608695652173914,0.27976190476190477,0.012145748987854251,0.1892803706590892,Low
03/02/2020,27.9766845703125,40.9872436523438,sx7cht,6,92,46,20,ELMONT,,0.021739130434782608,0.2261904761904762,0.012145748987854251,0.3270909296653004,Low
03/18/2020,28.6907958984375,41.0586547851562,sxk3sf,17,146,78,632,TDS LANDFILL,,0.14130434782608695,0.5476190476190477,0.8380566801619433,0.430609550632434,Medium
03/02/2020,28.4600830078125,41.1630249023438,sxk4pt,10,126,55,32,BURGER CENTER,,0.06521739130434782,0.42857142857142855,0.02834008097165992,0.25384363919833036,Low
03/08/2020,29.2071533203125,41.0421752929688,sxkc2x,83,150,111,24,HORNSBY BEND,,0.8586956521739131,0.5714285714285714,0.017543859649122806,-0.10964367440339978,Low
03/03/2020,29.2071533203125,41.0421752929688,sxkc2x,65,150,101,28,HORNSBY BEND,,0.6630434782608695,0.5714285714285714,0.022941970310391364,-0.029763371639801806,Low
03/30/2020,27.9766845703125,40.9872436523438,sx7cht,6,84,40,26,ELMONT,,0.021739130434782608,0.17857142857142858,0.020242914979757085,0.34380579374858555,Low
03/14/2020,29.2071533203125,41.0421752929688,sxkc2x,86,151,108,35,HORNSBY BEND,,0.8913043478260869,0.5773809523809523,0.032388663967611336,-0.12001942565443705,Low
03/08/2020,28.6907958984375,41.0586547851562,sxk3sf,23,142,82,132,TDS LANDFILL,,0.20652173913043478,0.5238095238095238,0.1632928475033738,0.2092363014559811,Low
