name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"3200 Jones Rd, Austin, TX 78745",2020-01-15,81.2,69.3,73.2,82.5,69.3,73.3,66.1,79.7,0.011,100,8.33,rain,0,0,28,13.7,175.6,1017.4,79.2,6.9,90.9,7.9,4,,2020-01-15T07:28:28,2020-01-15T17:52:54,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-16,70.5,56.7,62.1,70.5,56.7,62.1,59.1,89.9,0.334,100,29.17,rain,0,0,20.8,14.4,15.7,1023.5,93.8,6.7,23.8,2.1,1,,2020-01-16T07:28:18,2020-01-16T17:53:45,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-17,58.7,50.6,55.3,58.7,50.6,55.3,53,91.7,0.102,100,33.33,rain,0,0,26.6,5.1,329.8,1022.1,93.3,5.9,35.9,3,2,,2020-01-17T07:28:07,2020-01-17T17:54:37,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-18,69,49.8,62.2,69,45,62,50.9,69.6,0.004,100,4.17,rain,0,0,27.9,14.9,2.8,1022.7,59.4,7.4,99.3,8.6,5,,2020-01-18T07:27:55,2020-01-18T17:55:29,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-19,57.3,38.8,48.2,57.3,33.5,44.7,22.9,37.9,0,0,0,,0,0,29.8,15.5,20.3,1032.3,8.7,9.9,163.8,14,6,,2020-01-19T07:27:40,2020-01-19T17:56:22,0.82,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-20,60.6,31.7,45,60.6,31.7,44.5,27.7,55,0,0,0,,0,0,13.2,8.1,25.3,1034.2,30.3,9.9,162.5,13.9,6,,2020-01-20T07:27:24,2020-01-20T17:57:14,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAUS,72064800230,AURT2,72254013904,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-21,61.5,39.5,50.9,61.5,39.5,50.9,33.8,55,0.001,100,4.17,rain,0,0,27.4,15.3,147.1,1029.4,69,9.9,122.2,10.5,6,,2020-01-21T07:27:07,2020-01-21T17:58:07,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72054200166,72254413958,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-22,58.2,47.3,53.1,58.2,42.7,51.9,50.5,90.9,0.883,100,83.33,rain,0,0,24.6,9.8,143.7,1017,94.4,4.7,17.4,1.4,1,,2020-01-22T07:26:48,2020-01-22T17:59:00,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,AURT2,E0214,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-23,66.1,45.8,55.3,66.1,45.8,54.9,47.7,77.6,0.034,100,4.17,rain,0,0,26.2,13.5,342.8,1015.6,34.1,8.1,152.4,13,6,,2020-01-23T07:26:27,2020-01-23T17:59:53,0.96,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72054200166,72254413958,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-24,67.2,41.3,52.5,67.2,41.1,52.4,36.1,60.1,0,0,0,,0,0,14.1,6,345.4,1020.9,3.9,9.8,163,14,6,,2020-01-24T07:26:04,2020-01-24T18:00:46,0,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-25,66.3,40.5,54.5,66.3,40.5,54.5,45.2,71.9,0.018,100,12.5,rain,0,0,26.4,15.4,171.9,1018.6,49.1,9.2,75.2,6.5,3,,2020-01-25T07:25:40,2020-01-25T18:01:38,0.03,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
"3200 Jones Rd, Austin, TX 78745",2020-01-26,77.5,52.6,63.4,77.5,52.6,63.4,51.1,69.3,0.011,100,4.17,rain,0,0,17.7,7.8,355.3,1015.2,29.3,7.5,168.7,14.5,6,,2020-01-26T07:25:15,2020-01-26T18:02:31,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,AURT2,72254013904,72254413958,72054200166,D9418"
