name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"4600 Elmont Dr Austin, TX 78741",2020-01-15,81.6,68.2,73.2,83,68.2,73.3,66.5,80.8,0.011,100,8.33,rain,0,0,24.2,14.1,174,1017.3,79.6,7.1,83.8,7.4,3,,2020-01-15T07:28:07,2020-01-15T17:52:30,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-16,70.2,56.8,62.2,70.2,56.8,62.2,59.6,91.1,0.351,100,29.17,rain,0,0,20.8,14.8,13.8,1023.4,92,6.1,25.3,2.2,1,,2020-01-16T07:27:57,2020-01-16T17:53:22,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,E0214,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-17,59.6,51.3,56.1,59.6,51.3,56.1,53.7,92,0.111,100,37.5,rain,0,0,26.6,6.4,333.4,1022,92.2,6.1,36.5,3.1,2,,2020-01-17T07:27:46,2020-01-17T17:54:14,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-18,69,49.9,62.2,69,44.5,62,51.4,70.7,0.007,100,4.17,rain,0,0,29,17,3.5,1022.5,63.4,7.6,90.8,8,5,,2020-01-18T07:27:34,2020-01-18T17:55:06,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-19,57.4,38.6,48,57.4,33.3,44,24,39.8,0,0,0,,0,0,29.8,18.3,17.7,1032.2,12.5,9.9,171.1,14.6,7,,2020-01-19T07:27:20,2020-01-19T17:55:58,0.82,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-20,60.9,31.3,44.9,60.9,31.3,44.4,28,56.1,0,0,0,,0,0,13.2,8.1,17.3,1034.3,31.7,9.9,168.3,14.6,6,,2020-01-20T07:27:04,2020-01-20T17:56:51,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAUS,72064800230,KEDC,C2969,72254013904,EAUT2"
"4600 Elmont Dr Austin, TX 78741",2020-01-21,61.8,39.3,50.9,61.8,39.3,50.9,34.2,56,0,0,0,,0,0,27.6,15.8,147.6,1029.4,70,9.9,127.5,11,5,,2020-01-21T07:26:46,2020-01-21T17:57:43,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-22,58.5,47.6,53.4,58.5,42.9,52.5,50.8,91.2,0.897,100,83.33,rain,0,0,24.6,10.4,146.2,1016.9,94,4.9,18,1.5,1,,2020-01-22T07:26:27,2020-01-22T17:58:36,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,E0214,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-23,65.9,44.2,54.8,65.9,44.2,54.6,47.8,79.1,0.02,100,4.17,rain,0,0,26.2,14.9,348.2,1015.5,35.7,7.9,156.9,13.6,6,,2020-01-23T07:26:06,2020-01-23T17:59:29,0.96,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-24,66.9,39.4,51.5,66.9,37.8,51.2,36.2,62.3,0,0,0,,0,0,14.1,7.8,336,1020.9,6.4,9.7,172.6,14.9,7,,2020-01-24T07:25:43,2020-01-24T18:00:22,0,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-25,66.2,38.4,53.6,66.2,38.4,53.6,45.3,74.9,0.024,100,16.67,rain,0,0,25.7,15.8,173.7,1018.6,50.5,9.2,79.5,7,4,,2020-01-25T07:25:19,2020-01-25T18:01:15,0.03,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-26,77.3,50.5,63,77.3,50.5,63,51.4,70.7,0.011,100,4.17,rain,0,0,18.3,8.5,1.3,1015.1,30.5,7.2,176.6,15.4,7,,2020-01-26T07:24:54,2020-01-26T18:02:08,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-27,69,43.5,54.7,69,43.5,54.7,49.3,83,0,0,0,,0,0,21,10.9,140.9,1015.2,35,8,123.6,10.7,6,,2020-01-27T07:24:27,2020-01-27T18:03:01,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-28,72.7,50.4,58.4,72.7,50.4,58.4,48,71.6,0.251,100,20.83,rain,0,0,32,18.8,257.6,1012.7,52.9,8,147.5,12.7,7,,2020-01-28T07:23:58,2020-01-28T18:03:54,0.12,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-29,61.8,44.1,51.6,61.8,40.6,49.4,37.9,60.4,0,0,0,,0,0,24.1,15,350.3,1017.6,7.3,9.9,185.1,16.1,7,,2020-01-29T07:23:28,2020-01-29T18:04:46,0.16,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-30,49.5,43.1,46.8,47.4,38.2,43.2,39.9,77,0.004,100,4.17,rain,0,0,18.1,10.5,18.1,1019.6,92.4,9.5,48,4.2,3,,2020-01-30T07:22:56,2020-01-30T18:05:39,0.19,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-01-31,61.1,42,50.3,61.1,42,49.1,38.2,65.1,0,0,0,,0,0,18.3,8.7,351.9,1021.7,54,9.9,154,13.3,7,,2020-01-31T07:22:22,2020-01-31T18:06:31,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-02-01,73.5,37.1,52.8,73.5,33.7,51.8,32.8,54.2,0,0,0,,0,0,23,10.5,283.7,1024.3,13.9,9.9,188.3,16.2,7,,2020-02-01T07:21:48,2020-02-01T18:07:23,0.25,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-02-02,77.8,38.6,57.7,77.8,38.3,57.6,33.6,46.1,0,0,0,,0,0,27,17.8,197.7,1018.9,31.4,9.9,186.2,16.1,7,,2020-02-02T07:21:12,2020-02-02T18:08:15,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-02-03,72.7,55.4,64.3,72.7,55.4,64.3,55.6,73.9,0,0,0,,0,0,30.4,17.5,177.5,1010,62,9.9,71.9,6.3,3,,2020-02-03T07:20:34,2020-02-03T18:09:07,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"4600 Elmont Dr Austin, TX 78741",2020-02-04,77.5,47.8,64.9,77.5,42.2,64.2,57.2,76.9,0,0,0,,0,0,28.3,20.2,50.9,1007.9,70.2,9.5,120.3,10.6,5,,2020-02-04T07:19:55,2020-02-04T18:09:59,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
